variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,proposal
tree_length,3.049735530652563,6,-1.4433067516400213,5.873320470823515,5.66034149752748,1.9563304453211545,2.0239502521209634,3.346469484327128,9.063252729351223,1.0005883496843877,175.84837377679517,154.06918008282148,200,data_set_14,2.387503457187096,9.330695736500173,0.95,STL
max_branch,1.194384650243693,24,-1.0494027624174622,2.103419143599641,2.029037566641565,0.8662398517627742,0.773879451563778,0.9145279719599642,3.46525924305662,1.0072128557155962,204.70152803178726,212.62085774700176,200,data_set_14,0.6536139969019596,3.4901493685961475,0.95,STL
range_branch,1.103392884016553,25,-1.0491628001842435,2.006722703338476,1.906373177119228,0.8610006179815841,0.7532974085527029,0.8310808734943421,3.3515303016759823,1.0134105291591138,187.24249771206374,212.62085774700176,200,data_set_14,0.4580783365736303,3.4382190399416874,0.95,STL
RF_dist,3,193,0.4909428120672473,2.805,3,0.3971949384061652,0,2,3,0.996414625175262,186.51005516995903,NA,200,data_set_14,2,3,0.95,STL
BHV_dist,2.7280124947246023,49,-0.7464870647858467,3.4954224137054166,3.269005708696498,1.0280284216324231,0.8767888071911041,2.2953102970844363,5.235673183957502,1.008584395373837,151.6854621765034,170.54631572700947,200,data_set_14,2.197525129595807,5.341689825628411,0.95,STL
KC_dist,4.58257569495584,103,0.5875483132526437,4.311382729735641,4.58257569495584,0.46156709006428037,0,3.1622776601683795,4.58257569495584,1.001264514764552,231.634562944253,NA,200,data_set_14,3.1622776601683795,4.58257569495584,0.95,STL
tree_length,1.6102312583102916,94,-0.32054952782473883,1.937592011783234,1.658688521172147,1.0212485904890416,0.7796419693230451,0.7158980830162898,3.791150417965503,1.0057951318553007,118.40781120830137,212.62085774700176,200,data_set_15,0.4947309450441457,4.195421300761382,0.95,STL
max_branch,0.5713793708087453,112,-0.14505599533666746,0.626074354849999,0.5107497974327871,0.37706117499183256,0.285666192744985,0.21524216623235035,1.3556800673163762,1.001466744564624,122.73515612125793,181.8165087595598,200,data_set_15,0.09812973423040064,1.427757640349601,0.95,STL
range_branch,0.5580671047824598,119,-0.07220599150718475,0.5846251831529006,0.4807448069004658,0.36780989798884145,0.2674680239939745,0.16654167386163213,1.3329407271536282,1.002353412907195,118.44770640770398,178.62881248895602,200,data_set_15,0.10192994266488384,1.347947211962605,0.95,STL
RF_dist,3,65,0.5618252752912527,2.66,3,0.6051703526932681,0,1,3,1.0058243662953554,212.1499272784064,NA,200,data_set_15,1,3,0.95,STL
BHV_dist,2.1400543918587944,70,-0.4055833794146232,2.2624008135734592,2.2056278911969875,0.30165541273226454,0.18478743689731683,1.9285039570197053,2.801650867378691,1.0209695429723336,225.8718637817169,178.62881248895596,200,data_set_15,1.6207956722195611,2.80423906092403,0.95,STL
KC_dist,3.872983346207417,130,0.6041540068059735,3.45967097050675,3.390363202746577,0.6841175777112802,0.7155326246950412,2.449489742783178,4.58257569495584,1.0207597387058014,186.72188978864875,NA,200,data_set_15,2.449489742783178,4.58257569495584,0.95,STL
